record_id,pref_code,pref_name,area_code,area_name,facility_name,municipality,linkage_match_status,linkage_match_method,current_longitude,current_latitude,reference_status,reference_kind,reference_id,reference_name,reference_address,reference_longitude,reference_latitude,reference_area_code,distance_m,audit_status
R7-2203-21,22,静岡県,2203,駿東田方,社会医療法人 青虎会 フジ虎ノ門整形外科病院,御殿場市,matched,normalized_exact,138.9190172673418,35.295141547481045,unique,病院,2211225603360,社会医療法人青虎会　フジ虎ノ門整形外科病院,静岡県御殿場市川島田字中原１０６７－１,138.919088,35.294607,2203,59.8,agree
R7-2203-22,22,静岡県,2203,駿東田方,社会医療法人志仁会三島中央病院,三島市,matched,normalized_exact,138.91236150968592,35.11743648982493,unique,病院,2211227100430,社会医療法人　志仁会　三島中央病院,静岡県三島市緑町１－３,138.912443,35.117213,2203,25.9,agree
R7-2203-23,22,静岡県,2203,駿東田方,公益社団法人有隣厚生会富士病院,御殿場市,matched,normalized_exact,138.9356959,35.29846482,unique,病院,2211225700360,公益社団法人　有隣厚生会　富士病院,静岡県御殿場市新橋１７８４,138.935711,35.298389,2203,8.5,agree
R7-2203-24,22,静岡県,2203,駿東田方,独立行政法人 地域医療機能推進機構 三島総合病院,三島市,matched,normalized_exact,138.9517645,35.12408842,unique,病院,2211225601470,独立行政法人　地域医療機能推進機構　三島総合病院,静岡県三島市谷田藤久保２２７６,138.952634,35.123769,2203,86.7,agree
R7-2203-25,22,静岡県,2203,駿東田方,医療法人社団 駿栄会 御殿場石川病院,御殿場市,matched,normalized_exact,138.959435692599,35.30620701085781,unique,病院,2211225700650,医療法人社団　駿栄会　御殿場石川病院,静岡県御殿場市深沢１２８５－２,138.959486,35.306250,2203,6.6,agree
R7-2203-26,22,静岡県,2203,駿東田方,医療法人社団親和会 西島病院,沼津市,matched,normalized_exact,138.8774943330227,35.11856587258593,unique,病院,2211225604080,医療法人社団　親和会　西島病院,静岡県沼津市大岡２８３５－７,138.877474,35.118546,2203,2.9,agree
R7-2203-27,22,静岡県,2203,駿東田方,ＮＴＴ東日本伊豆病院,函南町,matched,normalized_exact,138.956957,35.0899388,unique,病院,2211225602350,ＮＴＴ東日本伊豆病院,静岡県田方郡函南町平井７５０,138.956691,35.089800,2203,28.7,agree
R7-2203-28,22,静岡県,2203,駿東田方,農協共済中伊豆リハビリテーションセンター,伊豆市,matched,normalized_exact,139.0197268,34.9239234,unique,病院,2211225500430,農協共済中伊豆リハビリテーションセンター,静岡県伊豆市冷川１５２３－１０８,139.019749,34.924264,2203,37.9,agree
R7-2203-29,22,静岡県,2203,駿東田方,御殿場かいせい病院,御殿場市,matched,normalized_exact,138.92508911666667,35.245350583888886,unique,病院,2211225603650,御殿場かいせい病院,静岡県御殿場市大坂５７－８,138.925186,35.245367,2203,9.0,agree
R7-2203-30,22,静岡県,2203,駿東田方,医療法人社団慈広会記念病院,伊豆の国市,matched,normalized_exact,138.92485406144863,35.03900169704453,unique,病院,2211227100140,医療法人社団　慈広会記念病院,静岡県伊豆の国市長岡７４１－１,138.924809,35.038973,2203,5.2,agree
R7-2203-31,22,静岡県,2203,駿東田方,医療法人新光会伊豆平和病院,函南町,matched,normalized_exact,138.9869051,35.10705071,unique,病院,2211225602510,医療法人新光会　伊豆平和病院,静岡県田方郡函南町平井１６９０－１３,138.986909,35.107605,2203,61.6,agree
R7-2203-32,22,静岡県,2203,駿東田方,公益財団法人復康会 沼津リハビリテーション病院,沼津市,matched,normalized_exact,138.8636718,35.07496409,unique,病院,2211225600590,公益財団法人復康会沼津リハビリテーション病院,静岡県沼津市上香貫蔓陀ケ原２５１０－２２,138.863338,35.075078,2203,32.9,agree
R7-2203-33,22,静岡県,2203,駿東田方,医療法人社団清風会芹沢病院,三島市,matched,normalized_exact,138.91225191042153,35.1380226979457,unique,病院,2211225601500,医療法人社団清風会芹沢病院,静岡県三島市幸原町２－３－１,138.912331,35.137989,2203,8.1,agree
R7-2203-34,22,静岡県,2203,駿東田方,伊豆韮山温泉病院,伊豆の国市,matched,normalized_exact,138.940104,35.04208422,unique,病院,2211225602770,伊豆韮山温泉病院,静岡県伊豆の国市中條２３４,138.940139,35.042555,2203,52.4,agree
R7-2203-35,22,静岡県,2203,駿東田方,医療法人社団福仁会 三島東海病院,三島市,matched,normalized_exact,138.9335286635793,35.12325574586321,unique,病院,2211225601760,医療法人社団福仁会三島東海病院,静岡県三島市川原ケ谷２６４－１２,138.933719,35.123296,2203,17.9,agree
R7-2203-36,22,静岡県,2203,駿東田方,裾野赤十字病院,裾野市,matched,normalized_exact,138.9119304,35.17897914,unique,病院,2211225601890,裾野赤十字病院,静岡県裾野市佐野７１３,138.911885,35.179207,2203,25.7,agree
R7-2203-37,22,静岡県,2203,駿東田方,公益社団法人 有隣厚生会 富士小山病院,小山町,matched,normalized_exact,138.9455002,35.34961914,unique,病院,2211225603810,公益社団法人有隣厚生会富士小山病院,静岡県駿東郡小山町用沢４３７－１,138.945457,35.349661,2203,6.1,agree
R7-2203-38,22,静岡県,2203,駿東田方,医療法人社団榮紀会 東名裾野病院,裾野市,matched,normalized_exact,138.91055061172375,35.2125392567916,unique,病院,2211225604370,医療法人社団榮紀会東名裾野病院,静岡県裾野市御宿１４７２,138.910605,35.212564,2203,5.7,agree
