record_id,area_code,facility_name,facility_name_normalized,municipality,match_status,match_method,reason_code,candidate_count,match_score,p04_feature_index,p04_name,p04_name_normalized,p04_category,p04_address,p04_municipality,p04_beds,longitude,latitude
R7-3401-28,3401,広島医療生活協同組合広島共立病院,広島医療生活協同組合広島共立病院,広島市安佐南区,matched,normalized_exact,,1,,151100,広島医療生活協同組合　広島共立病院,広島医療生活協同組合広島共立病院,1,広島市安佐南区中須二丁目２０－２０,広島市安佐南区,186,132.47459620326694,34.46083805173632
R7-3401-29,3401,広島シーサイド病院,広島シサイド病院,広島市南区,unmatched,none,outside_area_polygon,1,,,,,,,,,,
R7-3401-30,3401,五日市記念病院,五日市記念病院,広島市佐伯区,matched,normalized_exact,,1,,150741,五日市記念病院,五日市記念病院,1,広島市佐伯区倉重一丁目９５番地,広島市佐伯区,180,132.35178123070637,34.383194897567655
R7-3401-31,3401,福島生協病院,福島生協病院,広島市西区,matched,normalized_exact,,1,,150446,福島生協病院,福島生協病院,1,広島市西区福島町一丁目２４－７,広島市西区,165,132.4350847040506,34.395062511176796
R7-3401-32,3401,医療法人社団まりも会 ヒロシマ平松病院,まりも会ヒロシマ平松病院,広島市南区,matched,normalized_exact,,1,,149535,医療法人社団まりも会　ヒロシマ平松病院,まりも会ヒロシマ平松病院,1,広島市南区比治山本町１１番２７号,広島市南区,161,132.47115718254344,34.379933523707074
R7-3401-33,3401,医療法人社団おると会 浜脇整形外科病院,おると会浜脇整形外科病院,広島市中区,matched,normalized_exact,,1,,150150,医療法人社団おると会　浜脇整形外科病院,おると会浜脇整形外科病院,1,広島市中区大手町４丁目６－６,広島市中区,160,132.45300937810592,34.38512214993557
R7-3401-34,3401,国家公務員共済組合連合会 吉島病院,国家公務員吉島病院,広島市中区,matched,normalized_exact,,1,,147867,国家公務員共済組合連合会　吉島病院,国家公務員吉島病院,1,広島市中区吉島東３丁目　２の３３,広島市中区,199,132.451097,34.369346
R7-3401-35,3401,ワカサ・リハビリ病院,ワカサリハビリ病院,広島市東区,matched,normalized_suffix,,1,,149842,医療法人ワカサ会　ワカサ・リハビリ病院,ワカサ会ワカサリハビリ病院,1,広島市東区東山町１５番１号,広島市東区,155,132.49312820440034,34.396586419821276
R7-3401-36,3401,広島厚生病院,広島厚生病院,広島市南区,matched,normalized_exact,,1,,149652,広島厚生病院,広島厚生病院,1,広島市南区仁保新町一丁目５－１３,広島市南区,150,132.49053930175947,34.37768928596961
R7-3401-37,3401,広島グリーンヒル病院,広島グリンヒル病院,広島市佐伯区,matched,normalized_suffix,,1,,150765,医療法人和同会　広島グリーンヒル病院,和同会広島グリンヒル病院,1,広島市佐伯区五日市町下河内１８８－６,広島市佐伯区,300,132.35333363918403,34.40786952003367
