published_fy,pref_code,pref_name,area_code,area_name,population_2020,population_2020_source_value,population_2020_source_unit,area_2020_km2,outflow_rate,outflow_rate_source_value,inflow_rate,inflow_rate_source_value
R7,20,長野県,2009,長野,532702,53.2702,万人,1558.0,0.053,0.053,0.10400000000000001,0.10400000000000001
R7,20,長野県,2010,北信,82543,8.2543,万人,1009.45,0.231,0.231,0.071,0.071
R7,21,岐阜県,2101,岐阜,793551,79.3551,万人,993.28,0.076,0.076,0.18,0.18
R7,21,岐阜県,2102,西濃,358439,35.8439,万人,1432.97,0.248,0.248,0.09300000000000001,0.09300000000000001
R7,21,岐阜県,2103,中濃,364282,36.4282,万人,2454.26,0.24100000000000002,0.24100000000000002,0.131,0.131
R7,21,岐阜県,2104,東濃,323574,32.3574,万人,1562.82,0.21600000000000003,0.21600000000000003,0.07200000000000001,0.07200000000000001
R7,21,岐阜県,2105,飛騨,138896,13.8896,万人,4177.99,0.23199999999999998,0.23199999999999998,0.047,0.047
R7,22,静岡県,2201,賀茂,59546,5.9546,万人,583.55,0.341,0.341,0.10400000000000001,0.10400000000000001
R7,22,静岡県,2202,熱海伊東,99699,9.9699,万人,185.88,0.35200000000000004,0.35200000000000004,0.21600000000000003,0.21600000000000003
R7,22,静岡県,2203,駿東田方,640096,64.0096,万人,1276.93,0.057,0.057,0.214,0.214
R7,22,静岡県,2204,富士,373497,37.3497,万人,634.03,0.254,0.254,0.079,0.079
R7,22,静岡県,2205,静岡,693389,69.3389,万人,1411.9,0.054000000000000006,0.054000000000000006,0.17800000000000002,0.17800000000000002
R7,22,静岡県,2206,志太榛原,452533,45.2533,万人,1209.37,0.172,0.172,0.043,0.043
R7,22,静岡県,2207,中東遠,465839,46.5839,万人,831.13,0.276,0.276,0.042,0.042
R7,22,静岡県,2208,西部,848603,84.8603,万人,1644.62,0.032,0.032,0.151,0.151
R7,23,愛知県,2302,海部,325234,32.5234,万人,208.38,0.428,0.428,0.17800000000000002,0.17800000000000002
R7,23,愛知県,2304,尾張東部,475816,47.5816,万人,230.14,0.308,0.308,0.569,0.569
R7,23,愛知県,2305,尾張西部,514824,51.4824,万人,193.17,0.158,0.158,0.184,0.184
R7,23,愛知県,2306,尾張北部,735278,73.5278,万人,295.96,0.252,0.252,0.19899999999999998,0.19899999999999998
R7,23,愛知県,2307,知多半島,628495,62.8495,万人,392.2,0.361,0.361,0.07200000000000001,0.07200000000000001
R7,23,愛知県,2308,西三河北部,484282,48.4282,万人,950.51,0.191,0.191,0.11900000000000001,0.11900000000000001
R7,23,愛知県,2309,西三河南部西,701627,70.1627,万人,363.76,0.16699999999999998,0.16699999999999998,0.19699999999999998,0.19699999999999998
R7,23,愛知県,2310,西三河南部東,427103,42.7103,万人,443.92,0.257,0.257,0.106,0.106
R7,23,愛知県,2311,東三河北部,52751,5.2751,万人,1052.43,0.675,0.675,0.055,0.055
R7,23,愛知県,2312,東三河南部,695479,69.5479,万人,671.04,0.091,0.091,0.11800000000000001,0.11800000000000001
R7,23,愛知県,2313,名古屋・尾張中部,2501526,250.1526,万人,368.36,0.146,0.146,0.214,0.214
R7,24,三重県,2405,桑員,215393,21.5393,万人,394.93,,XXX,,XXX
R7,24,三重県,2406,三泗,372127,37.2127,万人,328.17,,XXX,,XXX
R7,24,三重県,2407,鈴亀,245505,24.5505,万人,385.5,,XXX,,XXX
R7,24,三重県,2408,津,274537,27.4537,万人,711.19,,XXX,,XXX
R7,24,三重県,2409,伊賀,165153,16.5153,万人,688.0,,XXX,,XXX
R7,24,三重県,2410,松阪,212094,21.2094,万人,1363.86,,XXX,,XXX
R7,24,三重県,2411,伊勢志摩,220224,22.0224,万人,912.42,,XXX,,XXX
R7,24,三重県,2412,東紀州,65221,6.5221,万人,990.34,,XXX,,XXX
R7,25,滋賀県,2501,大津,345070,34.507,万人,464.51,0.299,0.299,0.33799999999999997,0.33799999999999997
R7,25,滋賀県,2502,湖南,346482,34.6482,万人,256.39,0.21600000000000003,0.21600000000000003,0.344,0.344
R7,25,滋賀県,2503,甲賀,142818,14.2818,万人,552.02,0.326,0.326,0.19699999999999998,0.19699999999999998
R7,25,滋賀県,2504,東近江,226694,22.6694,万人,727.97,0.285,0.285,0.151,0.151
