published_fy,pref_code,pref_name,area_code,area_name,bed_function,series,year,beds
R7,01,北海道,0104,札幌,高度急性期,実績,2022,2590
R7,01,北海道,0104,札幌,高度急性期,実績,2023,2914
R7,01,北海道,0104,札幌,高度急性期,実績,2024,2584
R7,01,北海道,0104,札幌,高度急性期,実績,2025,2584
R7,01,北海道,0104,札幌,高度急性期,見込量,2026,3026
R7,01,北海道,0104,札幌,高度急性期,必要数,2025,3913
R7,01,北海道,0104,札幌,急性期,実績,2015,15598
R7,01,北海道,0104,札幌,急性期,実績,2018,16996
R7,01,北海道,0104,札幌,急性期,実績,2019,16020
R7,01,北海道,0104,札幌,急性期,実績,2020,15925
R7,01,北海道,0104,札幌,急性期,実績,2021,16243
R7,01,北海道,0104,札幌,急性期,実績,2022,15830
R7,01,北海道,0104,札幌,急性期,実績,2023,15548
R7,01,北海道,0104,札幌,急性期,実績,2024,15180
R7,01,北海道,0104,札幌,急性期,実績,2025,15180
R7,01,北海道,0104,札幌,急性期,見込量,2026,14553
R7,01,北海道,0104,札幌,急性期,必要数,2025,10951
R7,01,北海道,0104,札幌,回復期,実績,2015,2237
R7,01,北海道,0104,札幌,回復期,実績,2018,2902
R7,01,北海道,0104,札幌,回復期,実績,2019,3130
R7,01,北海道,0104,札幌,回復期,実績,2020,3060
R7,01,北海道,0104,札幌,回復期,実績,2021,3223
R7,01,北海道,0104,札幌,回復期,実績,2022,3228
R7,01,北海道,0104,札幌,回復期,実績,2023,3348
R7,01,北海道,0104,札幌,回復期,実績,2024,3755
R7,01,北海道,0104,札幌,回復期,実績,2025,3755
R7,01,北海道,0104,札幌,回復期,見込量,2026,3686
R7,01,北海道,0104,札幌,回復期,必要数,2025,8923
R7,01,北海道,0104,札幌,慢性期,実績,2015,11893
R7,01,北海道,0104,札幌,慢性期,実績,2018,12211
R7,01,北海道,0104,札幌,慢性期,実績,2019,11575
R7,01,北海道,0104,札幌,慢性期,実績,2020,11110
R7,01,北海道,0104,札幌,慢性期,実績,2021,11212
R7,01,北海道,0104,札幌,慢性期,実績,2022,11567
R7,01,北海道,0104,札幌,慢性期,実績,2023,11413
R7,01,北海道,0104,札幌,慢性期,実績,2024,11587
R7,01,北海道,0104,札幌,慢性期,実績,2025,11587
R7,01,北海道,0104,札幌,慢性期,見込量,2026,11545
R7,01,北海道,0104,札幌,慢性期,必要数,2025,11999
R7,01,北海道,0105,後志,合計,実績,2015,3241
R7,01,北海道,0105,後志,合計,実績,2018,2879
R7,01,北海道,0105,後志,合計,実績,2019,2743
R7,01,北海道,0105,後志,合計,実績,2020,2742
R7,01,北海道,0105,後志,合計,実績,2021,2681
R7,01,北海道,0105,後志,合計,実績,2022,2725
R7,01,北海道,0105,後志,合計,実績,2023,2639
R7,01,北海道,0105,後志,合計,実績,2024,2458
R7,01,北海道,0105,後志,合計,実績,2025,2458
R7,01,北海道,0105,後志,合計,見込量,2026,2390
R7,01,北海道,0105,後志,合計,必要数,2025,2922
R7,01,北海道,0105,後志,高度急性期,実績,2015,102
R7,01,北海道,0105,後志,高度急性期,実績,2018,102
R7,01,北海道,0105,後志,高度急性期,実績,2019,149
R7,01,北海道,0105,後志,高度急性期,実績,2020,102
R7,01,北海道,0105,後志,高度急性期,実績,2021,102
R7,01,北海道,0105,後志,高度急性期,実績,2022,310
R7,01,北海道,0105,後志,高度急性期,実績,2023,102
R7,01,北海道,0105,後志,高度急性期,実績,2024,102
R7,01,北海道,0105,後志,高度急性期,実績,2025,102
R7,01,北海道,0105,後志,高度急性期,見込量,2026,102
R7,01,北海道,0105,後志,高度急性期,必要数,2025,164
R7,01,北海道,0105,後志,急性期,実績,2015,1531
R7,01,北海道,0105,後志,急性期,実績,2018,1413
R7,01,北海道,0105,後志,急性期,実績,2019,1296
R7,01,北海道,0105,後志,急性期,実績,2020,1437
R7,01,北海道,0105,後志,急性期,実績,2021,1306
R7,01,北海道,0105,後志,急性期,実績,2022,1096
R7,01,北海道,0105,後志,急性期,実績,2023,1222
R7,01,北海道,0105,後志,急性期,実績,2024,1040
R7,01,北海道,0105,後志,急性期,実績,2025,1040
R7,01,北海道,0105,後志,急性期,見込量,2026,1043
R7,01,北海道,0105,後志,急性期,必要数,2025,638
R7,01,北海道,0105,後志,回復期,実績,2015,280
R7,01,北海道,0105,後志,回復期,実績,2018,387
R7,01,北海道,0105,後志,回復期,実績,2019,368
R7,01,北海道,0105,後志,回復期,実績,2020,409
R7,01,北海道,0105,後志,回復期,実績,2021,383
R7,01,北海道,0105,後志,回復期,実績,2022,383
R7,01,北海道,0105,後志,回復期,実績,2023,436
R7,01,北海道,0105,後志,回復期,実績,2024,384
R7,01,北海道,0105,後志,回復期,実績,2025,384
R7,01,北海道,0105,後志,回復期,見込量,2026,379
R7,01,北海道,0105,後志,回復期,必要数,2025,856
R7,01,北海道,0105,後志,慢性期,実績,2015,1328
R7,01,北海道,0105,後志,慢性期,実績,2018,977
R7,01,北海道,0105,後志,慢性期,実績,2019,930
R7,01,北海道,0105,後志,慢性期,実績,2020,794
R7,01,北海道,0105,後志,慢性期,実績,2021,890
R7,01,北海道,0105,後志,慢性期,実績,2022,936
R7,01,北海道,0105,後志,慢性期,実績,2023,879
