published_fy,pref_code,pref_name,area_code,area_name,direction,overall_rate
R7,18,福井県,1803,丹南,流出率,0.5679085033208497
R7,18,福井県,1804,嶺南,流入率,0.028896312875779095
R7,18,福井県,1804,嶺南,流出率,0.2897677563412686
R7,19,山梨県,1901,中北,流入率,0.24478522090328703
R7,19,山梨県,1901,中北,流出率,0.09672321811985884
R7,19,山梨県,1902,峡東,流入率,0.1955339136841474
R7,19,山梨県,1902,峡東,流出率,0.4572356718390884
R7,19,山梨県,1903,峡南,流入率,0.2092219827193037
R7,19,山梨県,1903,峡南,流出率,0.4947191975038674
R7,19,山梨県,1904,富士・東部,流入率,0.049056010589247356
R7,19,山梨県,1904,富士・東部,流出率,0.40619515579561283
R7,20,長野県,2001,佐久,流入率,0.1920851542621277
R7,20,長野県,2001,佐久,流出率,0.08236330393054236
R7,20,長野県,2002,上小,流入率,0.09860191024355647
R7,20,長野県,2002,上小,流出率,0.3105925554571217
R7,20,長野県,2003,諏訪,流入率,0.12992543265107503
R7,20,長野県,2003,諏訪,流出率,0.11327138374292123
R7,20,長野県,2004,上伊那,流入率,0.05723795619333638
R7,20,長野県,2004,上伊那,流出率,0.22603398964330457
R7,20,長野県,2005,飯伊,流入率,0.05967727792457411
R7,20,長野県,2005,飯伊,流出率,0.1181740479509541
R7,20,長野県,2006,木曽,流入率,0.054450972590390556
R7,20,長野県,2006,木曽,流出率,0.5376536780971553
R7,20,長野県,2007,松本,流入率,0.24597460148840977
R7,20,長野県,2007,松本,流出率,0.05528520603057152
R7,20,長野県,2008,大北,流入率,0.17088168978460572
R7,20,長野県,2008,大北,流出率,0.35253013984239967
R7,20,長野県,2009,長野,流入率,0.08048072621837987
R7,20,長野県,2009,長野,流出率,0.07768835385580297
R7,20,長野県,2010,北信,流入率,0.11204880686452534
R7,20,長野県,2010,北信,流出率,0.2701533445217098
R7,21,岐阜県,2101,岐阜,流入率,0.17334236427139704
R7,21,岐阜県,2101,岐阜,流出率,0.10580458057001163
R7,21,岐阜県,2102,西濃,流入率,0.12452352446563264
R7,21,岐阜県,2102,西濃,流出率,0.19891099911340404
R7,21,岐阜県,2103,中濃,流入率,0.11601516931562328
R7,21,岐阜県,2103,中濃,流出率,0.2787846024268994
R7,21,岐阜県,2104,東濃,流入率,0.11038003622564274
R7,21,岐阜県,2104,東濃,流出率,0.24269460107914553
