published_fy,direction,pref_code,pref_name,area_code,area_name,phase,rank,partner_pref_code,partner_pref_name,partner_area_code,partner_area_name,rate,rate_source_value,value_status
R7,流入率,01,北海道,0104,札幌,慢性期,15,01,北海道,0118,遠紋,0.0014659654600508588,0.0014659654600508588,observed
R7,流入率,01,北海道,0104,札幌,慢性期,16,01,北海道,0103,北渡島檜山,0.0014125854867540976,0.0014125854867540976,observed
R7,流入率,01,北海道,0104,札幌,慢性期,17,01,北海道,0121,根室,0.0010659841329363575,0.0010659841329363575,observed
R7,流入率,01,北海道,0104,札幌,慢性期,18,01,北海道,0113,上川北部,0.0007477157015515361,0.0007477157015515361,observed
R7,流入率,01,北海道,0104,札幌,慢性期,19,01,北海道,0108,北空知,0.0005555759437706406,0.0005555759437706406,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,1,01,北海道,0104,札幌,0.9853484762666468,0.9853484762666468,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,2,01,北海道,0106,南空知,0.0020539994959585983,0.0020539994959585983,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,3,01,北海道,0105,後志,0.0013123620601182234,0.0013123620601182234,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,4,01,北海道,0110,東胆振,0.0012424792305110316,0.0012424792305110316,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,5,01,北海道,0112,上川中部,0.0009550539711279597,0.0009550539711279597,observed
R7,流出率,01,北海道,0104,札幌,高度急性期+急性期,6,01,北海道,0101,南渡島,0.0009369739413965692,0.0009369739413965692,observed
R7,流出率,01,北海道,0104,札幌,包括期,1,01,北海道,0104,札幌,0.9830440703076311,0.9830440703076311,observed
R7,流出率,01,北海道,0104,札幌,包括期,2,01,北海道,0105,後志,0.0044041435215200955,0.0044041435215200955,observed
R7,流出率,01,北海道,0104,札幌,包括期,3,01,北海道,0106,南空知,0.0030015564669157533,0.0030015564669157533,observed
R7,流出率,01,北海道,0104,札幌,包括期,4,01,北海道,0110,東胆振,0.0012153080034754647,0.0012153080034754647,observed
R7,流出率,01,北海道,0104,札幌,包括期,5,01,北海道,0112,上川中部,0.0010020333485293751,0.0010020333485293751,observed
R7,流出率,01,北海道,0104,札幌,慢性期,1,01,北海道,0104,札幌,0.9813945013127432,0.9813945013127432,observed
R7,流出率,01,北海道,0104,札幌,慢性期,2,01,北海道,0105,後志,0.010157801041915328,0.010157801041915328,observed
R7,流出率,01,北海道,0104,札幌,慢性期,3,01,北海道,0106,南空知,0.0024459539219300504,0.0024459539219300504,observed
R7,流出率,01,北海道,0104,札幌,慢性期,4,01,北海道,0107,中空知,0.001295363424996037,0.001295363424996037,observed
R7,流出率,01,北海道,0104,札幌,慢性期,5,01,北海道,0109,西胆振,0.0010211953275021644,0.0010211953275021644,observed
R7,流出率,01,北海道,0104,札幌,慢性期,6,01,北海道,0112,上川中部,0.0005913096910177627,0.0005913096910177627,observed
R7,流出率,01,北海道,0104,札幌,慢性期,7,01,北海道,0110,東胆振,0.0005788004446702383,0.0005788004446702383,observed
R7,流入率,01,北海道,0105,後志,高度急性期+急性期,1,01,北海道,0105,後志,0.9654995041672042,0.9654995041672042,observed
R7,流入率,01,北海道,0105,後志,高度急性期+急性期,2,01,北海道,0104,札幌,0.019915962515613804,0.019915962515613804,observed
R7,流入率,01,北海道,0105,後志,包括期,1,01,北海道,0105,後志,0.9583016689602825,0.9583016689602825,observed
R7,流入率,01,北海道,0105,後志,包括期,2,01,北海道,0104,札幌,0.030386169013191584,0.030386169013191584,observed
R7,流入率,01,北海道,0105,後志,慢性期,1,01,北海道,0105,後志,0.8638004543922944,0.8638004543922944,observed
R7,流入率,01,北海道,0105,後志,慢性期,2,01,北海道,0104,札幌,0.09867008330686255,0.09867008330686255,observed
R7,流入率,01,北海道,0105,後志,慢性期,3,01,北海道,0106,南空知,0.006323096976286711,0.006323096976286711,observed
R7,流入率,01,北海道,0105,後志,慢性期,4,01,北海道,0109,西胆振,0.005810442999955782,0.005810442999955782,observed
R7,流入率,01,北海道,0105,後志,慢性期,5,01,北海道,0110,東胆振,0.005541775602317572,0.005541775602317572,observed
R7,流出率,01,北海道,0105,後志,高度急性期+急性期,1,01,北海道,0105,後志,0.6398543952570241,0.6398543952570241,observed
R7,流出率,01,北海道,0105,後志,高度急性期+急性期,2,01,北海道,0104,札幌,0.34139066178475574,0.34139066178475574,observed
R7,流出率,01,北海道,0105,後志,高度急性期+急性期,3,01,北海道,0109,西胆振,0.009504556260244329,0.009504556260244329,observed
R7,流出率,01,北海道,0105,後志,包括期,1,01,北海道,0105,後志,0.8281443514070082,0.8281443514070082,observed
R7,流出率,01,北海道,0105,後志,包括期,2,01,北海道,0104,札幌,0.1586132003473732,0.1586132003473732,observed
R7,流出率,01,北海道,0105,後志,包括期,3,01,北海道,0109,西胆振,0.006798321281554089,0.006798321281554089,observed
R7,流出率,01,北海道,0105,後志,慢性期,1,01,北海道,0105,後志,0.6921618578806114,0.6921618578806114,observed
R7,流出率,01,北海道,0105,後志,慢性期,2,01,北海道,0104,札幌,0.2832111879159787,0.2832111879159787,observed
R7,流出率,01,北海道,0105,後志,慢性期,3,01,北海道,0109,西胆振,0.01883154231299349,0.01883154231299349,observed
R7,流入率,01,北海道,0106,南空知,高度急性期+急性期,1,01,北海道,0106,南空知,0.9001638848959994,0.9001638848959994,observed
R7,流入率,01,北海道,0106,南空知,高度急性期+急性期,2,01,北海道,0104,札幌,0.04458916374063173,0.04458916374063173,observed
R7,流入率,01,北海道,0106,南空知,高度急性期+急性期,3,01,北海道,0107,中空知,0.03589972185640389,0.03589972185640389,observed
R7,流入率,01,北海道,0106,南空知,包括期,1,01,北海道,0106,南空知,0.8838628164585385,0.8838628164585385,observed
R7,流入率,01,北海道,0106,南空知,包括期,2,01,北海道,0104,札幌,0.051042683179089866,0.051042683179089866,observed
R7,流入率,01,北海道,0106,南空知,包括期,3,01,北海道,0107,中空知,0.04301741345272253,0.04301741345272253,observed
R7,流入率,01,北海道,0106,南空知,慢性期,1,01,北海道,0106,南空知,0.8997697671353778,0.8997697671353778,observed
R7,流入率,01,北海道,0106,南空知,慢性期,2,01,北海道,0104,札幌,0.041632480528189575,0.041632480528189575,observed
R7,流入率,01,北海道,0106,南空知,慢性期,3,01,北海道,0107,中空知,0.028048085590909565,0.028048085590909565,observed
R7,流出率,01,北海道,0106,南空知,高度急性期+急性期,1,01,北海道,0106,南空知,0.5493594085686301,0.5493594085686301,observed
R7,流出率,01,北海道,0106,南空知,高度急性期+急性期,2,01,北海道,0104,札幌,0.4097396156163418,0.4097396156163418,observed
R7,流出率,01,北海道,0106,南空知,高度急性期+急性期,3,01,北海道,0107,中空知,0.032739204964880475,0.032739204964880475,observed
R7,流出率,01,北海道,0106,南空知,包括期,1,01,北海道,0106,南空知,0.6439643340957852,0.6439643340957852,observed
R7,流出率,01,北海道,0106,南空知,包括期,2,01,北海道,0104,札幌,0.3341359953173037,0.3341359953173037,observed
R7,流出率,01,北海道,0106,南空知,包括期,3,01,北海道,0107,中空知,0.015351737829003191,0.015351737829003191,observed
R7,流出率,01,北海道,0106,南空知,慢性期,1,01,北海道,0106,南空知,0.717920902803342,0.717920902803342,observed
R7,流出率,01,北海道,0106,南空知,慢性期,2,01,北海道,0104,札幌,0.24691393315009713,0.24691393315009713,observed
R7,流出率,01,北海道,0106,南空知,慢性期,3,01,北海道,0107,中空知,0.01530143861960416,0.01530143861960416,observed
R7,流出率,01,北海道,0106,南空知,慢性期,4,01,北海道,0105,後志,0.008840427522382585,0.008840427522382585,observed
R7,流入率,01,北海道,0107,中空知,高度急性期+急性期,1,01,北海道,0107,中空知,0.872987965076121,0.872987965076121,observed
R7,流入率,01,北海道,0107,中空知,高度急性期+急性期,2,01,北海道,0106,南空知,0.060242523068286535,0.060242523068286535,observed
R7,流入率,01,北海道,0107,中空知,高度急性期+急性期,3,01,北海道,0108,北空知,0.03467403126837257,0.03467403126837257,observed
