area_code,area_name,pref_code,pref_name,bed_function,plan_2025_r6,actual_2025_r7,actual_2024_r6,actual_2024_r7,need_2025
0805,土浦,08,茨城県,高度急性期,204,204,204,204,236
0805,土浦,08,茨城県,急性期,1029,1004,999,1004,687
0805,土浦,08,茨城県,回復期,279,298,298,298,642
0805,土浦,08,茨城県,慢性期,406,392,309,392,365
0806,つくば,08,茨城県,合計,3372,3484,3272,3484,3489
0806,つくば,08,茨城県,高度急性期,800,800,776,800,436
0806,つくば,08,茨城県,急性期,1436,1439,1450,1439,1209
0806,つくば,08,茨城県,回復期,358,358,307,358,895
0806,つくば,08,茨城県,慢性期,778,887,739,887,949
0807,取手・竜ヶ崎,08,茨城県,合計,3565,3422,3493,3422,3704
0807,取手・竜ヶ崎,08,茨城県,高度急性期,44,44,44,44,307
0807,取手・竜ヶ崎,08,茨城県,急性期,2013,1950,1942,1950,1278
0807,取手・竜ヶ崎,08,茨城県,回復期,710,725,710,725,1242
0807,取手・竜ヶ崎,08,茨城県,慢性期,798,703,797,703,877
0808,筑西・下妻,08,茨城県,合計,1915,1873,1915,1873,1458
0808,筑西・下妻,08,茨城県,高度急性期,15,15,15,15,54
0808,筑西・下妻,08,茨城県,急性期,685,700,685,700,337
0808,筑西・下妻,08,茨城県,回復期,343,345,343,345,515
0808,筑西・下妻,08,茨城県,慢性期,872,813,872,813,552
0809,古河・坂東,08,茨城県,合計,1552,1410,1571,1410,1469
0809,古河・坂東,08,茨城県,高度急性期,43,115,43,115,133
0809,古河・坂東,08,茨城県,急性期,964,787,1038,787,643
0809,古河・坂東,08,茨城県,回復期,271,284,216,284,419
0809,古河・坂東,08,茨城県,慢性期,274,224,274,224,274
0901,県北,09,栃木県,合計,2739,2796,2739,2796,2485
0901,県北,09,栃木県,高度急性期,435,428,395,428,232
0901,県北,09,栃木県,急性期,1310,1374,1406,1374,830
0901,県北,09,栃木県,回復期,320,320,264,320,922
0901,県北,09,栃木県,慢性期,674,674,674,674,501
0902,県西,09,栃木県,合計,1215,1175,1239,1175,1194
0902,県西,09,栃木県,高度急性期,51,4,51,4,105
0902,県西,09,栃木県,急性期,817,864,841,864,459
0902,県西,09,栃木県,回復期,28,28,28,28,358
0902,県西,09,栃木県,慢性期,319,279,319,279,272
0903,宇都宮,09,栃木県,合計,4559,4334,4512,4334,4424
0903,宇都宮,09,栃木県,高度急性期,519,515,502,515,437
0903,宇都宮,09,栃木県,急性期,2174,2025,2144,2025,1457
0903,宇都宮,09,栃木県,回復期,688,776,688,776,1363
0903,宇都宮,09,栃木県,慢性期,1178,1018,1178,1018,1167
0904,県東,09,栃木県,合計,777,730,763,730,686
0904,県東,09,栃木県,高度急性期,47,47,47,47,61
0904,県東,09,栃木県,急性期,532,495,522,495,271
0904,県東,09,栃木県,回復期,40,40,40,40,200
0904,県東,09,栃木県,慢性期,158,148,154,148,154
0905,県南,09,栃木県,合計,4723,4858,4723,4858,4757
0905,県南,09,栃木県,高度急性期,1960,2211,1960,2211,687
0905,県南,09,栃木県,急性期,1544,1521,1544,1521,1735
0905,県南,09,栃木県,回復期,594,501,594,501,1762
0905,県南,09,栃木県,慢性期,625,625,625,625,573
0906,両毛,09,栃木県,合計,2220,2238,2183,2238,1912
0906,両毛,09,栃木県,高度急性期,41,41,41,41,206
0906,両毛,09,栃木県,急性期,1364,1382,1373,1382,633
0906,両毛,09,栃木県,回復期,236,198,236,198,574
0906,両毛,09,栃木県,慢性期,579,617,533,617,499
1001,前橋,10,群馬県,合計,3573,3579,3579,3579,3566
1001,前橋,10,群馬県,高度急性期,1254,1254,1254,1254,529
1001,前橋,10,群馬県,急性期,1504,1510,1510,1510,1429
1001,前橋,10,群馬県,回復期,502,502,502,502,1149
1001,前橋,10,群馬県,慢性期,313,313,313,313,459
1002,渋川,10,群馬県,合計,1182,1169,1183,1169,927
1002,渋川,10,群馬県,高度急性期,41,45,41,45,128
1002,渋川,10,群馬県,急性期,675,658,676,658,256
1002,渋川,10,群馬県,回復期,161,161,161,161,287
1002,渋川,10,群馬県,慢性期,305,305,305,305,256
1003,伊勢崎,10,群馬県,合計,2015,2014,2022,2014,2162
1003,伊勢崎,10,群馬県,高度急性期,165,165,165,165,186
1003,伊勢崎,10,群馬県,急性期,979,978,986,978,627
1003,伊勢崎,10,群馬県,回復期,456,456,456,456,805
1003,伊勢崎,10,群馬県,慢性期,415,415,415,415,544
1004,高崎・安中,10,群馬県,合計,3700,3684,3706,3684,3699
